split,group,n,share_entered_B,median_k,CAR_A,CAR_B,B_minus_A,B_minus_A_lo,B_minus_A_hi,post_minus_pre_perday_descriptive,post_minus_pre_lo,post_minus_pre_hi
range_tercile,high,4922,0.7226737098740349,1.0,0.000983069288801748,0.0009243568842355757,-5.871240456617249e-05,-0.0045699646632184066,0.004580034492961645,-0.019808300183716338,-0.02124796838311785,-0.018403789848931148
range_tercile,low,4924,0.4642567018683997,3.0,0.006946669359375439,-1.2856291479970435e-05,-0.006959525650855411,-0.014843674569859225,0.0009096328515002565,-0.027562705502464126,-0.029757653917777974,-0.025427263995532436
range_tercile,mid,4923,0.6359943124111315,2.0,0.008469251098959591,0.0053263278928471465,-0.0031429232061124445,-0.008542358587442588,0.0023455836721792663,-0.02246345465296532,-0.02390106426463778,-0.02095972943223676
liq_tercile,high,4922,0.6414059325477448,2.0,0.0058947946247943795,0.0010209607605125579,-0.00487383386428182,-0.00964334153508251,0.00027081398660490147,-0.019792022793872432,-0.021406735044362968,-0.018117146084790405
liq_tercile,low,4924,0.5907798537774167,2.0,0.008604008269555496,0.0038240273272890624,-0.004779980942266435,-0.011934121329520842,0.0022057906702447516,-0.027190966668666255,-0.029227676746845843,-0.02518003220612961
liq_tercile,mid,4923,0.5906967296364005,2.0,0.0019008479103586697,0.0013920806416072471,-0.0005087672687514219,-0.007081317086869757,0.006033293179485641,-0.021395325670956332,-0.023066551550826424,-0.01977032456243038
period,holdout_2015_2026,9966,0.6096728878185832,2.0,0.001229098086075221,0.000623594826471822,-0.0006055032596033993,-0.007700995432229203,0.006738352554599436,-0.024678159111500533,-0.026196771847537895,-0.023051185580827256
period,selection_2005_2014,4803,0.603372891942536,2.0,0.014259629106683174,0.005099551609583272,-0.009160077497099902,-0.014075934970134554,-0.004566048195186252,-0.018583523219140505,-0.020599449979586414,-0.016727229290944133
