group,n,median_spread,mean_spread,gross_A,net_A,gross_B,net_B,net_A_lo,net_A_hi,net_B_lo,net_B_hi,net_B_minus_net_A_lo,net_B_minus_net_A_hi
all,14769,0.008238035714901313,0.00961823005773601,0.00546673370744295,-0.005151496350293059,0.002079212703733945,-0.004496280914620515,-0.015486870203523209,0.005163456352974766,-0.010135917150543248,0.0013855581296079095,-0.004718746308919208,0.00613231118600284
selection_2005_2014,4803,0.007529245790709526,0.008943477769980704,0.014259629106683174,0.004316151336702468,0.005099551609583272,-0.0010647934805544578,-0.004269155840327568,0.01349285528715635,-0.006106334498494518,0.004334541286232206,-0.010214375853881475,-0.0007748686413233453
holdout_2015_2026,9966,0.008576019255288884,0.009943419224712605,0.001229098086075221,-0.009714321138637383,0.000623594826471822,-0.006150047134349522,-0.023713309221520328,0.0045159089888615256,-0.013776168368460467,0.001716963689912833,-0.0036231535615493327,0.010987279208552136
liq high,4922,0.0073393503093357555,0.008832320120369283,0.0058947946247943795,-0.003937525495574906,0.0010209607605125579,-0.005421607766124287,-0.015249249888631706,0.006874580664808444,-0.01262180936519066,0.0017017050891625911,-0.006315213822706723,0.003731311428857396
liq low,4924,0.009215205371552748,0.010552714907610275,0.008604008269555496,-0.002948706638054776,0.0038240273272890624,-0.00313274388495906,-0.014393278785299085,0.009234698233955927,-0.009002322863590961,0.0034090796217562955,-0.007377368877961294,0.006827229789054197
liq mid,4923,0.00812937482321755,0.00946930568457699,0.0019008479103586697,-0.008568457774218321,0.0013920806416072471,-0.004934956025518638,-0.02017458513022209,0.0034176822777821844,-0.011495683450244123,0.00180804550636341,-0.003018300150045404,0.010293191473833556
