period,statistic,mean,ci_lo,ci_hi,share_seasons_pos,n_events,n_seasons,m_fixed,share_entered,share_B_entered,median_k_B,n_early_exit
holdout_2015_2026,CAR_D1,0.001251428170660805,-0.00904052817490157,0.01159969243259108,0.5434782608695652,9966,46,,0.7837648003210917,0.6096728878185832,2.0,13
holdout_2015_2026,D1 minus A,2.2330084585583493e-05,-0.0049092105636626355,0.004918793116748869,0.45652173913043476,9966,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,CAR_D2,-0.00018173286513023138,-0.006137455262001851,0.006077525963133256,0.5,9966,46,,0.42093116596427854,0.6096728878185832,2.0,13
holdout_2015_2026,D2 minus A,-0.0014108309512054524,-0.0103828482231065,0.0076936984669731,0.43478260869565216,9966,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,CAR_D3,-2.9275470289647493e-05,-0.007356607011526787,0.007555717875268214,0.5217391304347826,9966,46,,0.5810756572345976,0.6096728878185832,2.0,13
holdout_2015_2026,D3 minus A,-0.001258373556364869,-0.009007104844632075,0.006753985754657056,0.43478260869565216,9966,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,per-day AR pre-breakout leg (breakout events),0.024706209975069816,0.02316836683654401,0.026145107310764387,1.0,6076,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,per-day AR post-breakout leg (breakout events),2.8050863569278973e-05,-0.000310663949696953,0.0003737784510935213,0.4782608695652174,6076,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,per-day AR non-breakout events (1..H),-0.0015659975158346432,-0.0019521058033975833,-0.001191357852607251,0.13043478260869565,3890,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,per-day AR all events (Rule A),3.072745215188053e-05,-0.0003231685585240517,0.00038732217776401667,0.5434782608695652,9966,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,post minus pre per-day AR (breakout events; pre leg conditioned on the crossing; descriptive only),-0.024678159111500533,-0.026196771847537895,-0.023051185580827256,0.0,6076,46,,,0.6096728878185832,2.0,13
holdout_2015_2026,post-breakout per-day minus non-breakout per-day,0.0015940483794039222,0.001352402122427404,0.0018369791350054128,,6076,46,,,0.6096728878185832,2.0,13
