period,day,mean_car_pct,ci_lo_pct,ci_hi_pct,n_events
all_2005_2026,1,0.12724263221919405,0.01277145601446635,0.2341128563253568,14769
all_2005_2026,2,0.1491602366666835,-0.009323291762242282,0.30267554556392307,14769
all_2005_2026,3,0.1511617183269498,-0.04201131899238331,0.3338705422970627,14769
all_2005_2026,4,0.0983671460556786,-0.1141930228027581,0.3011766525862078,14769
all_2005_2026,5,0.0729723168013264,-0.17135527327241093,0.300107814125993,14769
all_2005_2026,6,0.048346163915682916,-0.22038995800313554,0.3015003091137886,14769
all_2005_2026,7,0.09736586743758073,-0.20918990552684602,0.3870501849124138,14769
all_2005_2026,8,0.11691258827847384,-0.22115434983175156,0.43565383098697213,14769
all_2005_2026,9,0.05785165752830187,-0.3042094894936372,0.4018517567354673,14769
all_2005_2026,10,0.013159925607221507,-0.3692435703576011,0.3817133021838003,14769
all_2005_2026,11,0.03118093916347627,-0.3846030191823699,0.4262562570053745,14769
all_2005_2026,12,0.08554637547622439,-0.35227449311567977,0.5143631937501474,14769
all_2005_2026,13,0.15083827279454182,-0.319278707893012,0.6149286277103828,14769
all_2005_2026,14,0.15335727630036763,-0.353419081936955,0.6442645090254838,14769
all_2005_2026,15,0.1809284624356265,-0.33980569912127295,0.6892116079490739,14769
all_2005_2026,16,0.21504195256684508,-0.3377999049149693,0.7501530333291736,14769
all_2005_2026,17,0.2581593949470476,-0.317917890922894,0.8171089900069166,14769
all_2005_2026,18,0.28773684567172175,-0.30577482958385244,0.8621244928057807,14769
all_2005_2026,19,0.3254677879320134,-0.30244606925060885,0.9411909580246594,14769
all_2005_2026,20,0.3490842441313762,-0.29672778183306486,0.9787878565750857,14769
all_2005_2026,21,0.3363596126393901,-0.32627218888392157,0.9927167735382008,14769
all_2005_2026,22,0.41765384196212896,-0.2606733810551609,1.086875124127124,14769
all_2005_2026,23,0.48775233045336536,-0.21399407632547554,1.1896834497773625,14769
all_2005_2026,24,0.4554817622865158,-0.282793404161121,1.1805977943872856,14769
all_2005_2026,25,0.4093955770655559,-0.367854695931933,1.1682259601289324,14769
all_2005_2026,26,0.4353984742155244,-0.35940300459316477,1.2170633598608849,14769
all_2005_2026,27,0.449571097947491,-0.36562451130763585,1.2640092528893891,14769
all_2005_2026,28,0.4534404181160887,-0.38800048469711373,1.2960579228894362,14769
all_2005_2026,29,0.5017589222339722,-0.38688348914799425,1.3746594574961073,14769
all_2005_2026,30,0.5199838415654081,-0.37304996809549046,1.4196730675639047,14769
all_2005_2026,31,0.5484218609179794,-0.3471113516137028,1.4750135067689145,14769
all_2005_2026,32,0.6007216984376516,-0.307113974635276,1.5448056663282168,14769
all_2005_2026,33,0.6243172794134622,-0.30158566753195926,1.573815288281574,14769
all_2005_2026,34,0.6805940932929857,-0.24704774519436504,1.6268853162266699,14769
all_2005_2026,35,0.6989197985087453,-0.22134963459174403,1.646676512885227,14769
all_2005_2026,36,0.7049048894563403,-0.2491112023913764,1.6783610997012328,14769
all_2005_2026,37,0.6998244830131249,-0.2807153076259033,1.710448825882946,14769
all_2005_2026,38,0.6967350561021513,-0.3077217895390023,1.7267277889600061,14769
all_2005_2026,39,0.7236929984419067,-0.2898495971388782,1.7645832227600455,14769
all_2005_2026,40,0.7329668906626329,-0.30059481447265135,1.7913508386913124,14769
all_2005_2026,41,0.7093111982863112,-0.34686362505572416,1.7739761964116059,14769
all_2005_2026,42,0.6804685196570995,-0.40510043019569575,1.7543721231481173,14769
