period,series,mean_daily_bp,nw_se_bp,nw_t,n_days,ann_sharpe
all,rA,2.8765340540888062,1.154097838473698,2.4924525098262396,5409,0.5370116484785938
all,rB,1.0514033480447058,0.6489729311063666,1.6201035476969394,5409,0.3339542811533761
all,d,-1.8251307060441002,0.6244776032563284,-2.922651983877381,5409,-0.6650626920979917
selection,rA,5.204149899762557,1.3765099111400225,3.7806846559154024,2534,1.0361869832523074
selection,rB,1.608327373482158,0.8787242451375069,1.8302981650750734,2534,0.5293186618328717
selection,d,-3.595822526280398,0.7238973276891265,-4.967310126367262,2534,-1.4210704325825578
holdout,rA,0.8249936878497517,1.7635963717065017,0.46779053364204093,2875,0.14647336919505657
holdout,rB,0.5605353548417488,0.9394013988922608,0.596694187918743,2875,0.17288192369654393
holdout,d,-0.2644583330080029,0.9479060361705877,-0.27899213942805856,2875,-0.09066734136365108
