label,n_events,share_entered_B,median_k,CAR_A,CAR_A_lo,CAR_A_hi,CAR_B,CAR_B_lo,CAR_B_hi,B_minus_A,B_minus_A_lo,B_minus_A_hi,C_minus_A,C_minus_A_lo,C_minus_A_hi,D1_minus_A,D1_minus_A_lo,D1_minus_A_hi,D2_minus_A,D2_minus_A_lo,D2_minus_A_hi,D3_minus_A,D3_minus_A_lo,D3_minus_A_hi,perday_post,perday_post_lo,perday_post_hi,perday_A,perday_A_lo,perday_A_hi,PRIMARY_post_minus_matched,PRIMARY_lo,PRIMARY_hi,matched_control_perday,variant,period,W,H,m_fixed
market-on-close entry for signal rules | selection,4803,0.603372891942536,2.0,0.014259629106683174,0.005658628493092489,0.023468995424159162,0.0043122474207070004,-0.000687414339009032,0.009662147283555815,-0.009947381685976172,-0.014957415163590941,-0.005330584250399413,-0.003004267752121425,-0.004777198517795414,-0.0013560613845491085,-0.005661456613412164,-0.008595975762079384,-0.0027870452470446245,-0.011765973661998668,-0.018161796560701472,-0.005735222074186637,-0.01106198014416072,-0.015998885854469975,-0.006159304970653309,0.00018610994167073513,-3.9131232321579335e-05,0.00041961822149064247,0.00035649072766707937,0.00014146571232731225,0.0005867248856039791,-0.00018282323839188878,-0.0002706170231520303,-9.201353734294881e-05,0.0003689331800626239,market-on-close entry for signal rules,selection,10,40,2.0
market-on-close entry for signal rules | holdout,9966,0.6096728878185832,2.0,0.0012290980860752226,-0.012926742340962066,0.015492887110560667,-1.6524326831462423e-05,-0.0077503190563312455,0.008025760073633623,-0.0012456224129066826,-0.008303181849152018,0.00602773067462168,-0.0007224892633192091,-0.0027612649236801712,0.0012881951963642712,-0.0007092696228563908,-0.005530929382013828,0.004143468445847726,-0.0017743152364116366,-0.010681722443578472,0.007350459877679186,-0.0015878718858913755,-0.009193066524574297,0.0064022231491479035,-1.1182994509103247e-07,-0.0003396578716842216,0.00034749126437716123,3.072745215188053e-05,-0.0003231685585240517,0.00038732217776401667,-8.362527745614819e-05,-0.0001677812190060632,-2.2036135725022343e-07,8.351344751105714e-05,market-on-close entry for signal rules,holdout,10,40,2.0
selection: fixed AR0 >= 5% | all,26610,0.6107102593010146,2.0,0.003177207930607398,-0.0060271143035854,0.01271890300310901,0.0013410451916823203,-0.0036679589575193583,0.006623075495137007,-0.001836162738925079,-0.006531225932290287,0.0029004669023359525,-0.0005526075783322457,-0.0019056818972222546,0.0007192703859014417,-0.0006606827204480146,-0.003743491761681205,0.002524156152037076,-0.002565138708046401,-0.008593923961649897,0.003625211476223681,-0.002432461181471261,-0.007449959991579225,0.002720650342078696,5.630130713036809e-05,-0.00016536243401755113,0.0002850698411804724,7.943019826518495e-05,-0.00015067785758963496,0.0003179725750777253,-7.184120755072282e-05,-0.00011987909393092916,-2.3030991261735484e-05,0.0001281425146810909,selection: fixed AR0 >= 5%,all,10,40,2.0
selection: fixed AR0 >= 5% | selection,7652,0.6151332984840564,2.0,0.011878307476234985,0.003775597099923606,0.019623521056079802,0.004366380267926842,-0.0003163719549336292,0.009158365008059707,-0.007511927208308145,-0.011221311981831983,-0.0034721121361577095,-0.002093231447620574,-0.003530929390647199,-0.0006955861863807468,-0.003922058612618252,-0.006193744003655034,-0.0014830827727859196,-0.009662579548504831,-0.014794469354867739,-0.004208513935155089,-0.008399836181382543,-0.012401155396169527,-0.003957963445187521,0.00018703651581648343,-1.9076012856875458e-05,0.0003935077596803247,0.0002969576869058746,9.438992749809015e-05,0.0004905880264019951,-0.00012373659627001285,-0.00019593730722384316,-4.991206381726978e-05,0.00031077311208649625,selection: fixed AR0 >= 5%,selection,10,40,2.0
selection: fixed AR0 >= 5% | holdout,18958,0.608924992087773,2.0,-0.0003348088287101608,-0.012444872062355724,0.011918010079682736,0.00011993199390707538,-0.006349661005834642,0.007135427950816522,0.0004547408226172362,-0.005494738267983984,0.006728505302474724,6.923300863865267e-05,-0.0016608013378466547,0.0017221469078655097,0.0006557034134736364,-0.003335478164736707,0.004869075755310162,0.0002995947718137057,-0.007377555112872448,0.00828655866076261,-2.3855131290802406e-05,-0.006549011278138619,0.0066228693913080745,2.9947732352238608e-06,-0.000283749120917459,0.00030568798461061685,-8.370220717754044e-06,-0.000311121801558893,0.0002979502519920684,-5.06811594996402e-05,-0.00010871784784059727,9.9604986947588e-06,5.367593273486407e-05,selection: fixed AR0 >= 5%,holdout,10,40,2.0
selection: z0 >= 2 | all,35515,0.6146135435731381,2.0,0.0010928027739176625,-0.006258646709230437,0.00848777300590459,0.0004233388222871682,-0.0034436149204947037,0.004359397192143111,-0.0006694639516304947,-0.004422218757926478,0.003437468319313701,-0.0002729067973905311,-0.0012709539944437214,0.0006608800464739304,7.398939028325448e-05,-0.002385165816845886,0.0029287205575723218,-0.0007754821920274074,-0.005811785946429442,0.004695100142224885,-0.0010223817244785643,-0.0049865288697288155,0.0032047443867534715,1.695736841050965e-05,-0.0001532148009620625,0.0001873915685312152,2.7320069347941583e-05,-0.0001564661677307609,0.00021219432514761477,-4.6741062744111324e-05,-7.85391990001384e-05,-1.270176034742415e-05,6.37086320776128e-05,selection: z0 >= 2,all,10,40,2.0
selection: z0 >= 2 | selection,11304,0.6208421797593772,2.0,0.009893960515138966,0.003933695960235352,0.015827893216612418,0.004460844631112817,0.0012839873507470194,0.007726475704978977,-0.0054331158840261505,-0.0085011932964411,-0.0022597875383065565,-0.0016487243116942182,-0.0028296894977438863,-0.0005848954599447556,-0.002706651812054791,-0.00446612851134029,-0.0009713433880828804,-0.007612681405302542,-0.01187331572883626,-0.003358738368254594,-0.006004781096247398,-0.009282532289534155,-0.002633050961934055,0.00019004834105197744,5.438039211555502e-05,0.0003241018127993103,0.00024734901287847417,9.834239900588381e-05,0.00039569733041531043,-7.151145292932705e-05,-0.00011607722699450276,-2.941015416769863e-05,0.0002615597939813045,selection: z0 >= 2,selection,10,40,2.0
selection: z0 >= 2 | holdout,24211,0.6117054231547644,2.0,-0.0030164156436101397,-0.013146753757223996,0.006603710751083739,-0.0014617533119891987,-0.0065857309851817545,0.003848343749990853,0.00155466233162094,-0.003446320765756733,0.007097277675511425,0.0003694558138890062,-0.0009486785642286494,0.001621661870619094,0.0013722574565022975,-0.001966452740482756,0.005350519528920431,0.0024167733904294146,-0.0043032592236009635,0.009760135366960122,0.0013038766910546608,-0.0038743701381858007,0.006893006613724145,-6.506507898974834e-05,-0.00029535418174313704,0.00016613517048600274,-7.541039109025344e-05,-0.00032866884393059994,0.00016509276877709346,-3.500314253345339e-05,-7.548576970897838e-05,1.1911597376689958e-05,-3.002791381046579e-05,selection: z0 >= 2,holdout,10,40,2.0
intraday filings included | all,16025,0.6101716068642745,2.0,0.0058872633582517315,-0.004352125864476072,0.01587405355632591,0.0020739415953962776,-0.003604729085940123,0.00783641111483832,-0.0038133217628554526,-0.008793304537393638,0.0012364311671765288,-0.0015424349859793473,-0.0031337929661718537,-1.1377767727007954e-06,-0.002146913073117418,-0.005481999260052241,0.0013158664480577295,-0.004749142161185792,-0.011016291752730804,0.0017165503405686968,-0.004763255652705025,-0.0101997962748894,0.000891108296058085,8.943215314338576e-05,-0.00016002051415422007,0.00034073116529243077,0.00014718158395629326,-0.00010880314661190184,0.0003968513389081478,-8.103768410885757e-05,-0.00014140409960556216,-2.137769390266604e-05,0.00017046983725224328,intraday filings included,all,10,40,2.0
intraday filings included | selection,5621,0.6066536203522505,2.0,0.013251087588588107,0.004850314375647819,0.022424359844830256,0.00456953745160004,-0.00037837281814935336,0.010063179302314016,-0.008681550136988066,-0.013090614228741231,-0.0045251508790350075,-0.002656933772153238,-0.004265091115979007,-0.0010976269082488485,-0.005006944913412573,-0.00761056079081135,-0.0024134837340597827,-0.010667306213904366,-0.016684589841268107,-0.005005335363911361,-0.009994528642167785,-0.014411058493472927,-0.005552943972527039,0.00019793306349421828,-2.3566199075220014e-05,0.0004410528185809273,0.00033127718971470265,0.00012125785939119548,0.0005606089961207564,-0.00013088452276711627,-0.00020734283975954254,-5.3253759316435533e-05,0.0003288175862613346,intraday filings included,selection,10,40,2.0
