idx,rA,rB,n,d
265,0.005802325716551379,0.0016967625744948906,14,-0.004105563142056488
266,-0.012390784860407858,-0.0033233936030841044,16,0.009067391257323754
267,0.008061644123342204,0.002591593438239187,17,-0.0054700506851030175
268,0.014849155925324627,0.001112987330678136,22,-0.013736168594646492
269,-0.003599849881256425,0.002286693067159029,25,0.005886542948415454
270,-0.006962686425116671,-0.0026476977112096702,29,0.004314988713907001
271,0.012795263798833422,0.003098305844490042,30,-0.009696957954343381
272,0.004029341291321015,0.0021381316458340613,32,-0.0018912096454869534
273,-0.0035806595833475473,0.00014699049611966233,32,0.0037276500794672096
274,-0.002800269101002421,-0.004362279976014751,34,-0.00156201087501233
275,0.010837346416123371,0.006700040311202464,39,-0.004137306104920907
276,-0.0006631207098762523,-0.003056065248503295,43,-0.0023929445386270424
277,0.000644460633906229,-0.0028523215018934145,43,-0.0034967821357996436
278,-0.02098127885190208,-0.011980178876733515,43,0.009001099975168564
279,-0.006021713621522879,-0.005361388358785068,49,0.0006603252627378105
280,0.008290445257882546,0.0044866412586444995,53,-0.003803803999238046
281,1.3049098956706797e-05,0.0004605250899769436,55,0.00044747599102023676
282,-0.0019563129265274463,-0.0005099887812602571,55,0.0014463241452671893
283,0.006031029812515438,0.0008555257134969762,57,-0.005175504099018462
284,-0.007505486887565738,-0.002269714799733509,61,0.005235772087832229
285,-0.002294774675184368,-0.002529763828329758,64,-0.00023498915314539015
286,-0.001257879764481195,-0.0008417466498150656,68,0.0004161331146661295
287,-0.0020956744521856124,-0.0017766244291682134,70,0.00031905002301739894
288,0.002878569944448035,0.0032129568499781815,75,0.0003343869055301464
289,0.0034646180972865044,0.004042234745992441,77,0.0005776166487059366
290,-0.00030395470361967907,-0.00040905650252059657,78,-0.0001051017989009175
291,0.000655550118186713,5.736596785143301e-05,78,-0.00059818415033528
292,-0.0009105134847692012,0.0005281993373533801,79,0.0014387128221225814
293,-0.001973410101574695,-0.0021447839147985858,80,-0.00017137381322389084
294,-0.0008441200416392697,-0.0003663848185654519,79,0.0004777352230738178
295,-0.00140192525533362,-3.995066023136704e-05,79,0.001361974595102253
296,-0.010980865433503111,-0.0064417604604865685,79,0.004539104973016543
297,-0.00013923266992347573,-0.00013165214341918268,79,7.58052650429305e-06
298,-0.007092970006333317,-0.004257477950690767,80,0.00283549205564255
299,0.006024659780018718,0.00294204785116752,78,-0.003082611928851198
300,0.0007766308805163318,0.0018417574914078969,79,0.0010651266108915652
301,0.0044938484823047,0.003031037925727142,77,-0.0014628105565775576
302,0.0008962585903741735,8.289781343238879e-05,77,-0.0008133607769417847
303,0.0014615879638162647,0.001540640197066855,76,7.905223325059031e-05
304,0.0019595872244498923,0.0003192305595147571,77,-0.001640356664935135
305,0.0002264348918291918,0.00048127168831688365,75,0.00025483679648769187
306,0.006919711112480212,0.0051147977118058295,73,-0.0018049134006743826
307,-0.004606752640701767,-0.0056247909974537595,73,-0.0010180383567519923
308,0.004456787784970871,0.0028250437829366428,68,-0.001631744002034228
309,-8.243178003551327e-05,-0.00043273887923342327,66,-0.00035030709919791
310,-0.005840241304495525,-0.0021178877507031834,62,0.0037223535537923413
311,0.002181426446239284,0.0017147536214977119,61,-0.00046667282474157214
312,0.005494875798069295,0.003717499394827879,59,-0.0017773764032414162
313,-0.00019743893243281916,6.548355363197819e-05,59,0.00026292248606479737
314,0.003084887871924653,-0.0001896743164896887,58,-0.0032745621884143414
315,-6.14992812457295e-05,0.0007936544333420311,53,0.0008551537145877606
316,0.0017226251030426653,0.002158454832041878,49,0.00043582972899921255
317,-0.004078955146637439,-0.003282455432574762,49,0.0007964997140626766
318,0.0005516449705855986,0.0021533141663594656,50,0.0016016691957738672
319,-0.003998720125656331,-0.002722310611224183,45,0.0012764095144321475
320,0.004889881750735451,0.0011344665166443497,42,-0.0037554152340911013
321,-0.0039060818761405256,-0.0010762127656988242,42,0.0028298691104417014
322,-0.006938416248500316,-0.00423289905945978,43,0.002705517189040536
323,-0.006938615332597862,-0.004754387306882533,42,0.002184228025715329
324,0.0070585341250287295,0.003640783307388658,41,-0.0034177508176400717
325,0.009213655427295806,0.0040531554898028425,38,-0.005160499937492963
326,-0.0041531001050096475,-0.0036956324198818237,38,0.00045746768512782386
327,-0.0020337267851362113,0.0004519300608777921,40,0.0024856568460140034
328,-0.009953682344430913,-0.003433501826457842,44,0.006520180517973071
329,0.003946517364431242,0.0004929236080087781,43,-0.003453593756422464
330,-0.001746588500655517,-0.000823358419738842,43,0.0009232300809166749
331,-0.0032783550301577783,-0.002525058418630278,46,0.0007532966115275002
332,-0.0039778305361315314,-0.0025044483346140026,55,0.0014733822015175289
333,-0.010795422331783926,-0.004305260001844298,61,0.0064901623299396275
334,0.003308292981905808,0.0008856479040046529,65,-0.0024226450779011553
335,-0.0007998286763043586,-0.0007593863191335533,65,4.044235717080532e-05
336,0.007742612987712987,0.004761472545129855,67,-0.0029811404425831318
337,-0.0017734441291449767,-0.0006825019472460426,71,0.001090942181898934
338,0.008033830585477615,0.004342806270893145,75,-0.00369102431458447
339,0.002075156307637816,0.000177535846546021,76,-0.0018976204610917952
340,-0.0003287938646403678,0.0004914494703414227,76,0.0008202433349817906
341,-0.0008137140561856087,-0.0005224272330527549,81,0.00029128682313285374
342,0.0020183555818367254,0.0021146250379707543,83,9.626945613402894e-05
343,-0.0040315443450434215,-0.002403145068898475,84,0.0016283992761449467
344,0.006608696782423061,0.001887556176180102,87,-0.004721140606242959
345,-0.00025603937749719513,-0.00017275252587820695,84,8.328685161898818e-05
346,0.0057041085129665,0.0022891458144100106,84,-0.0034149626985564897
347,-0.0001949321873499565,-0.00016507622529405666,84,2.9855962055899834e-05
348,0.0007425383514215036,-0.0006822161999504389,86,-0.0014247545513719425
349,0.0025477973207814896,0.0031632261536868435,85,0.000615428832905354
350,0.0019138125895115281,0.0006792542216385373,85,-0.001234558367872991
351,-0.013074887472653831,-0.007981212330787966,85,0.005093675141865865
352,0.009743012872265708,0.006315517877960186,85,-0.003427494994305522
353,8.30792152227351e-05,0.0015005530662949129,86,0.0014174738510721778
354,0.007914459461293445,0.0057458861062284735,85,-0.0021685733550649714
355,-0.0020949179049912794,-0.0016195281738309204,85,0.0004753897311603589
356,0.002221553790732623,0.0008892780928735251,85,-0.0013322756978590977
357,-0.0016138976928502407,-0.0003739760527453591,85,0.0012399216401048816
358,0.0015830534391886731,0.0015184170292135359,84,-6.463640997513725e-05
359,-0.004215775701092565,-0.0025128521537480355,83,0.0017029235473445294
360,-0.0036168226919983102,-0.0011097530991142092,82,0.002507069592884101
361,0.005702685712786133,0.004487525419669938,81,-0.0012151602931161952
362,0.0005705189011300457,-0.0005949019640676264,81,-0.001165420865197672
363,0.0013652252387367457,0.0011383236608806903,81,-0.00022690157785605538
364,0.004313224178136382,0.0016988516364133592,79,-0.0026143725417230234
365,-0.000841914550108727,0.0008417574193366048,79,0.0016836719694453318
366,0.00802983168268824,0.0048525914053585695,75,-0.003177240277329671
367,0.00013532108801591095,0.0011451965971700862,75,0.0010098755091541753
368,-0.0021149968135362775,-0.0014720917442022743,66,0.0006429050693340032
369,-0.0007537470631216536,-0.0012703007213078403,65,-0.0005165536581861868
370,0.0074759748592099304,0.003775492691244442,66,-0.0037004821679654885
371,-0.0016572785016220858,-0.0022539881871708935,64,-0.0005967096855488078
372,0.001156196982153918,0.0002964510278234185,54,-0.0008597459543304995
373,-0.004643601304909746,-0.003374395922971878,47,0.0012692053819378679
374,0.015433958763252263,0.009156304391628465,43,-0.006277654371623798
375,0.005823886935861147,0.0024421252055180946,44,-0.003381761730343052
376,-0.006357882513715914,-0.0036497278421112377,43,0.0027081546716046763
377,-0.0010314956260802437,-0.00043933705430146197,39,0.0005921585717787818
378,0.0036775986715575073,0.0015942380292193832,33,-0.002083360642338124
379,0.0022331135770322454,0.0031982236752302867,30,0.0009651100981980412
380,-0.0032728275919376992,-0.004251124309810729,29,-0.0009782967178730301
